time,Lower,Middle,Upper,Actual
2018-07-07 04:00:00,62.035378,65.70234,68.89959,64.7
2018-07-07 05:00:00,62.05719,64.5547,69.703674,64.23
2018-07-07 06:00:00,62.11202,65.30395,68.54159,64.66
2018-07-07 07:00:00,63.025352,65.765915,70.04868,65.71
2018-07-07 08:00:00,62.2451,65.84059,67.66744,65.63
2018-07-07 09:00:00,62.317722,65.7554,67.6548,66.0
2018-07-07 10:00:00,62.839317,66.0602,67.643456,65.99
2018-07-07 11:00:00,62.536263,65.637596,67.57398,66.72
2018-07-07 12:00:00,62.88555,65.51542,67.94289,66.49
2018-07-07 13:00:00,60.913357,64.417,65.664085,65.18
2018-07-07 14:00:00,62.08633,65.36489,69.85201,64.65
2018-07-07 15:00:00,61.780285,64.3961,70.146576,64.51
2018-07-07 16:00:00,61.452133,64.37985,70.03904,64.38
2018-07-07 17:00:00,61.559,65.092064,69.80838,64.59
2018-07-07 18:00:00,62.41617,65.681114,70.890785,65.47
2018-07-07 19:00:00,61.3826,66.407616,70.59726,66.33
2018-07-07 20:00:00,59.21343,64.58612,66.68091,67.05
2018-07-07 21:00:00,59.020287,64.54601,68.54037,65.16
2018-07-07 22:00:00,59.147343,63.23325,66.70928,63.45
2018-07-07 23:00:00,55.439938,60.120968,63.93682,61.82
2018-07-08 00:00:00,54.754627,58.82098,61.471508,59.9
2018-07-08 01:00:00,53.741222,58.031937,59.90625,57.92
2018-07-08 02:00:00,55.003098,57.20572,60.310467,57.28
2018-07-08 03:00:00,55.23676,57.606033,60.547935,57.62
2018-07-08 04:00:00,55.79188,59.758884,61.9121,57.42
2018-07-08 05:00:00,55.923153,59.127285,62.690872,57.28
2018-07-08 06:00:00,57.491074,59.034595,63.454422,59.34
2018-07-08 07:00:00,58.655807,59.789608,65.680855,59.15
2018-07-08 08:00:00,57.69149,59.154396,61.966187,62.82
2018-07-08 09:00:00,61.416622,64.30355,65.5747,65.98
2018-07-08 10:00:00,63.79756,67.32367,68.3647,66.48
2018-07-08 11:00:00,63.255787,65.77758,67.56772,66.96
2018-07-08 12:00:00,64.35685,65.6626,67.880646,67.06
2018-07-08 13:00:00,63.951595,65.52762,66.69271,65.99
2018-07-08 14:00:00,63.880466,66.40466,70.659325,64.95
2018-07-08 15:00:00,62.698624,65.618866,69.9994,65.84
2018-07-08 16:00:00,63.49128,67.15243,70.72022,64.98
2018-07-08 17:00:00,62.675777,65.889336,69.3978,65.18
2018-07-08 18:00:00,62.706993,66.316925,69.90286,63.39
2018-07-08 19:00:00,61.171837,63.793148,67.54833,67.01
2018-07-08 20:00:00,59.28104,64.899055,68.38383,67.68
2018-07-08 21:00:00,59.001278,64.40695,66.147095,66.38
2018-07-08 22:00:00,57.73125,62.365536,65.46122,65.4
2018-07-08 23:00:00,57.023903,61.21118,65.5716,62.56
2018-07-09 00:00:00,54.574745,58.005432,61.841583,57.68
2018-07-09 01:00:00,52.81991,55.605663,56.898148,56.47
2018-07-09 02:00:00,54.524742,56.00895,60.14272,56.2
2018-07-09 03:00:00,54.915318,56.782467,61.555267,56.71
2018-07-09 04:00:00,55.889465,58.72883,64.03003,62.06
2018-07-09 05:00:00,60.23363,65.92061,69.851326,65.27
2018-07-09 06:00:00,63.691402,69.237816,70.6548,68.7
2018-07-09 07:00:00,68.095535,70.16703,74.12726,68.69
2018-07-09 08:00:00,69.22995,68.349236,69.683235,69.91
2018-07-09 09:00:00,70.126495,70.54412,71.03343,72.72
2018-07-09 10:00:00,70.13117,72.852875,72.53418,73.1
2018-07-09 11:00:00,73.052155,73.05303,74.31865,73.31
2018-07-09 12:00:00,70.33296,71.46817,73.99347,73.0
2018-07-09 13:00:00,72.16822,70.91754,72.93205,71.81
2018-07-09 14:00:00,70.27415,70.92329,73.93392,71.36
2018-07-09 15:00:00,70.8162,71.37366,74.26683,71.15
2018-07-09 16:00:00,70.55467,71.59114,74.24433,70.45
2018-07-09 17:00:00,70.27026,70.90136,73.69562,68.93
2018-07-09 18:00:00,69.399635,69.24464,72.31667,68.6
2018-07-09 19:00:00,68.99877,68.97991,72.5966,68.97
2018-07-09 20:00:00,63.8348,65.96597,68.36129,69.59
2018-07-09 21:00:00,63.123676,65.90612,69.34556,68.38
2018-07-09 22:00:00,58.731674,63.972332,68.23555,64.21
2018-07-09 23:00:00,56.49364,59.694363,63.276356,60.26
2018-07-10 00:00:00,54.01387,56.704865,61.171997,57.31
2018-07-10 01:00:00,52.22738,55.357525,58.46056,55.78
2018-07-10 02:00:00,53.070797,55.563206,59.189228,55.32
2018-07-10 03:00:00,52.464993,55.115784,58.48028,56.16
2018-07-10 04:00:00,54.093327,57.605106,61.25712,60.83
2018-07-10 05:00:00,57.276268,64.36954,65.016594,63.81
2018-07-10 06:00:00,60.737774,67.92915,69.38254,67.84
2018-07-10 07:00:00,64.41742,70.55962,76.40904,69.19
2018-07-10 08:00:00,64.600845,68.689384,74.13347,69.41
2018-07-10 09:00:00,64.6463,68.40425,73.50107,72.22
2018-07-10 10:00:00,66.56845,72.33774,74.533226,72.59
2018-07-10 11:00:00,67.324715,72.09674,75.47509,73.39
2018-07-10 12:00:00,67.60505,71.884575,75.098694,72.61
2018-07-10 13:00:00,66.001465,70.364204,74.30109,71.77
2018-07-10 14:00:00,66.40144,71.526505,75.54843,71.41
2018-07-10 15:00:00,66.650246,72.027435,75.878914,70.91
2018-07-10 16:00:00,67.522156,71.492035,75.17475,69.91
2018-07-10 17:00:00,67.440445,71.61247,78.69769,68.37
2018-07-10 18:00:00,67.68464,69.83454,75.816895,68.21
2018-07-10 19:00:00,65.650734,68.72286,74.22558,68.78
2018-07-10 20:00:00,59.84888,65.05474,69.0115,69.31
2018-07-10 21:00:00,60.12089,65.41125,68.14845,67.97
2018-07-10 22:00:00,57.87653,63.756077,68.816124,64.54
2018-07-10 23:00:00,55.673622,60.597725,65.960365,58.54
2018-07-11 00:00:00,51.51909,54.814556,59.621487,56.97
2018-07-11 01:00:00,51.87381,54.531097,57.445034,56.47
2018-07-11 02:00:00,53.619537,55.739967,60.00721,55.63
2018-07-11 03:00:00,53.254116,55.062748,59.023853,55.99
2018-07-11 04:00:00,54.223198,58.04414,63.08653,60.21
2018-07-11 05:00:00,59.253586,63.90778,67.25646,64.62
2018-07-11 06:00:00,63.066074,70.13429,74.139084,69.31
2018-07-11 07:00:00,67.79373,70.508125,76.426575,69.79
2018-07-11 08:00:00,66.88191,69.84165,72.405815,70.09
2018-07-11 09:00:00,66.80601,70.12676,71.2159,72.78
2018-07-11 10:00:00,70.088776,72.77812,74.621826,74.03
2018-07-11 11:00:00,71.613464,73.86731,75.14614,74.68
2018-07-11 12:00:00,71.20059,73.29485,76.640526,73.74
2018-07-11 13:00:00,69.838425,72.139404,73.5719,72.06
2018-07-11 14:00:00,69.10799,72.49368,77.34271,71.42
2018-07-11 15:00:00,69.277855,72.56174,75.9005,70.79
2018-07-11 16:00:00,68.23751,71.48042,75.93774,70.24
2018-07-11 17:00:00,68.583855,70.9155,75.06095,68.63
2018-07-11 18:00:00,67.38931,69.64201,74.83629,69.2
2018-07-11 19:00:00,66.661285,70.198235,74.374245,70.25
2018-07-11 20:00:00,62.381893,67.526184,70.87909,70.88
2018-07-11 21:00:00,63.2039,67.9306,71.3754,68.51
2018-07-11 22:00:00,59.14399,65.0,68.52301,64.97
2018-07-11 23:00:00,56.31793,60.334827,66.02839,64.17
2018-07-12 00:00:00,56.134117,61.462315,62.53777,61.0
2018-07-12 01:00:00,54.396187,57.98396,61.84077,59.95
2018-07-12 02:00:00,57.977238,59.71234,64.863014,59.88
2018-07-12 03:00:00,58.050877,60.93097,64.07515,60.72
2018-07-12 04:00:00,58.357525,62.1856,66.41196,64.63
2018-07-12 05:00:00,62.23097,67.90397,72.60004,66.6
2018-07-12 06:00:00,65.02593,70.30965,74.87585,71.27
2018-07-12 07:00:00,69.54321,73.3918,77.59808,73.09
2018-07-12 08:00:00,70.96296,73.21191,75.88734,72.34
2018-07-12 09:00:00,68.61026,71.03621,74.108765,75.15
2018-07-12 10:00:00,70.636795,74.57271,76.98048,76.35
2018-07-12 11:00:00,71.680786,75.86194,79.78651,76.84
2018-07-12 12:00:00,72.29415,75.264305,78.4377,76.13
2018-07-12 13:00:00,71.0319,74.226395,78.096954,74.47
2018-07-12 14:00:00,71.46805,74.883644,78.80747,74.03
2018-07-12 15:00:00,72.43044,75.4761,77.670425,73.42
2018-07-12 16:00:00,71.122925,74.64371,77.076096,72.56
2018-07-12 17:00:00,69.87137,73.150314,76.02187,70.28
2018-07-12 18:00:00,67.3658,70.18302,73.751816,70.98
2018-07-12 19:00:00,67.470566,71.29331,74.609024,71.24
2018-07-12 20:00:00,63.03209,67.857285,70.98558,71.0
2018-07-12 21:00:00,63.118004,67.93785,70.824814,68.89
2018-07-12 22:00:00,60.722935,66.77682,69.80091,65.71
2018-07-12 23:00:00,58.463486,62.50099,66.992325,64.03
2018-07-13 00:00:00,54.775047,60.996086,63.211807,61.25
2018-07-13 01:00:00,53.781822,58.769814,61.475887,59.77
2018-07-13 02:00:00,57.119114,59.38371,62.65198,59.92
2018-07-13 03:00:00,58.275185,59.889755,63.812767,61.77
2018-07-13 04:00:00,59.8783,63.39356,66.08233,64.63
2018-07-13 05:00:00,62.781544,66.12552,69.816986,66.4
2018-07-13 06:00:00,64.819984,68.7695,71.84302,71.31
2018-07-13 07:00:00,69.55109,72.34562,75.990036,71.92
2018-07-13 08:00:00,69.103264,72.44116,74.32298,71.75
2018-07-13 09:00:00,69.45551,70.778275,72.52279,74.38
2018-07-13 10:00:00,72.12033,74.76436,76.9208,74.94
2018-07-13 11:00:00,71.52197,75.00994,77.20894,75.26
2018-07-13 12:00:00,71.248825,73.66153,76.49071,73.73
2018-07-13 13:00:00,69.57654,71.60999,73.10568,72.9
2018-07-13 14:00:00,70.69879,73.39322,75.63212,72.52
2018-07-13 15:00:00,68.99216,72.61689,75.59711,72.56
2018-07-13 16:00:00,70.104576,73.30421,75.43803,71.52
2018-07-13 17:00:00,68.96158,71.49043,74.19693,70.1
2018-07-13 18:00:00,67.849144,70.65689,73.79784,70.86
2018-07-13 19:00:00,67.49121,70.86759,74.60696,71.52
2018-07-13 20:00:00,63.93641,68.81985,71.168434,71.28
2018-07-13 21:00:00,63.62999,68.46878,71.12146,70.12
